title,url,date,pmid,news_id
"Limiting childrens screen time linked to better cognition, study says",https://www.cnn.com/2018/09/26/health/screen-time-cognition-study/index.html,2018/9/26,30268792,78095
"Teens arent just smoking cannabis, study says  theyre eating and vaping it, too",https://www.cnn.com/2018/09/28/health/cannabis-teen-use-methods-study/index.html,2018/9/28,30646180,48138
Science confirms what the heart already knows: Hugs really do make you feel better,https://www.cnn.com/2018/10/03/health/hugs-study-relationships-wellbeing-trnd/index.html,2018/10/3,30281606,53751
Psychedelic Mushrooms Are Closer to Medicinal Use (Its Not Just Your Imagination),https://www.nytimes.com/2018/10/03/science/magic-mushrooms-psilocybin-scheduleiv.html,2018/10/3,29753748,34983
Eating Processed Meats Tied to Breast Cancer Risk,https://www.nytimes.com/2018/10/03/well/eat/eating-processed-meats-tied-to-breast-cancer-risk.html,2018/10/3,30183083,45194
Daily Baby Aspirin May Lower Ovarian Cancer Risk,https://www.nytimes.com/2018/10/04/well/live/daily-baby-aspirin-may-lower-ovarian-cancer-risk.html,2018/10/4,30286239,37136
"Nearly 800 dietary supplements contain unapproved drug ingredients, study finds",https://www.cnn.com/2018/10/12/health/tainted-dietary-supplements-fda-study/index.html,2018/10/12,30646238,75614
Tiny Nanoparticles to Treat a Huge Problem: Snakebites,https://www.nytimes.com/2018/10/12/health/snakebites-treatments-nanoparticles.html,2018/10/12,30286075,17171
Omega-3s in Fish Oils Tied to Healthy Aging,https://www.nytimes.com/2018/10/17/well/eat/omega-3s-in-fish-oils-tied-to-healthy-aging.html,2018/10/17,30333104,73003
Irreversible damage to color vision linked to popular erectile dysfunction drug,https://www.sciencedaily.com/releases/2018/10/181001130336.htm,2018/10/18,30111842,70182
"Study of nearly 41,000 women who almost died giving birth shows who's most at risk",https://www.sciencedaily.com/releases/2018/10/181010180739.htm,2018/10/18,30303912,13441
US air pollution deaths nearly halved between 1990 and 2010,https://www.sciencedaily.com/releases/2018/10/181019120726.htm,2018/10/18,30930942,77796
"Organic foods cut your cancer risk, study suggests",https://www.cnn.com/2018/10/22/health/organic-food-cancer-study/index.html,2018/10/22,30422212,51356
"Blood donations after mass shootings might be unnecessary, study says",https://www.cnn.com/2018/10/30/health/blood-donations-mass-shootings-study/index.html,2018/10/30,30371625,35567
"Meat taxes would save many lives and cut health care costs, study says",https://www.cnn.com/2018/11/07/health/meat-tax-healthcare-scientists-scli-intl/index.html,2018/11/7,30399152,49818
Older Fathers More Likely to Have Babies With Health Problems,https://www.nytimes.com/2018/11/07/well/family/older-fathers-more-likely-to-have-babies-with-health-problems.html,2018/11/7,30381468,22349
"High blood pressure, smoking raise heart attack risk more in women, study says",https://www.cnn.com/2018/11/08/health/heart-attacks-women-lifestyle-intl-study/index.html,2018/11/8,30404896,45390
"Low-carb diets might be best for maintaining weight loss, study says",https://www.cnn.com/2018/11/14/health/low-carb-diet-weight-loss-maintenance-study/index.html,2018/11/14,30429127,31726
Moderate Drinking May Benefit Heart Failure Patients,https://www.nytimes.com/2018/12/28/well/eat/alcohol-drinking-heart-failure-patients.html,2018/12/28,30646330,83065
"AI Predicts Social Functioning in Early Psychosis, Depression",https://www.medpagetoday.com/psychiatry/generalpsychiatry/75357,2018/9/27,30267047,59158
Some school security measures make kids feel less safe,https://www.reuters.com/article/us-health-education-safety/some-school-security-measures-make-kids-feel-less-safe-idUSKCN1M72P5,2018/9/27,30197197,57306
Peer support tied to fewer repeat mental health hospitalizations,https://www.reuters.com/article/us-health-mental-crisis-peers/peer-support-tied-to-fewer-repeat-mental-health-hospitalizations-idUSKCN1M825V,2018/9/28,30102174,66205
ASBMR: Burosumab Benefits Persist in Rickets,https://www.medpagetoday.com/meetingcoverage/asbmr/75412,2018/9/30,29791829,36504
